checkTime,arrivalTime,price
2014-5-20 13:26,2014-07-08,4846
2014-7-11 22:7,2014-07-14,8792
2014-5-20 13:26,2014-07-10,4846
2014-5-20 13:26,2014-07-12,4958
2014-5-20 13:26,2014-07-13,5760
2014-5-20 13:26,2014-07-14,4940
2014-5-20 13:26,2014-07-09,4507
2014-5-20 16:9,2014-07-09,4507
2014-5-20 16:9,2014-07-10,4846
2014-5-20 16:9,2014-07-14,4940
2014-5-20 16:9,2014-07-13,5760
2014-5-20 16:9,2014-07-08,4846
2014-5-20 22:7,2014-07-14,4940
2014-5-20 22:7,2014-07-09,4507
2014-5-20 22:7,2014-07-10,4846
2014-5-21 4:7,2014-07-14,4940
2014-5-20 22:7,2014-07-13,5760
2014-5-20 16:9,2014-07-12,4958
2014-5-21 16:9,2014-07-14,4940
2014-5-21 4:7,2014-07-09,4507
2014-5-21 4:7,2014-07-10,5175
2014-5-21 22:7,2014-07-14,4940
2014-5-21 4:7,2014-07-13,5760
2014-5-20 22:7,2014-07-08,4846
2014-5-22 4:7,2014-07-14,4940
2014-5-21 16:9,2014-07-09,4507
2014-5-21 16:9,2014-07-10,5175
2014-5-22 10:9,2014-07-14,4940
2014-5-21 16:9,2014-07-13,5760
2014-5-20 22:7,2014-07-12,4958
2014-5-22 16:9,2014-07-14,5003
2014-5-21 22:7,2014-07-09,4507
2014-5-21 22:7,2014-07-10,5175
2014-5-22 22:7,2014-07-14,5003
2014-5-21 22:7,2014-07-13,5760
2014-5-21 4:7,2014-07-08,4846
2014-5-23 4:7,2014-07-14,5003
2014-5-22 4:7,2014-07-09,4507
2014-5-22 4:7,2014-07-10,5175
2014-5-23 10:9,2014-07-14,5003
2014-5-22 4:7,2014-07-13,5284
2014-5-21 4:7,2014-07-12,4958
2014-5-23 16:9,2014-07-14,5003
2014-5-22 10:9,2014-07-09,4507
2014-5-22 10:9,2014-07-10,5175
2014-5-23 22:7,2014-07-14,5003
2014-5-22 10:9,2014-07-13,5284
2014-5-21 16:9,2014-07-08,4846
2014-5-24 4:7,2014-07-14,5003
2014-5-22 16:9,2014-07-09,4693
2014-5-22 16:9,2014-07-10,5362
2014-5-24 10:9,2014-07-14,5003
2014-5-22 16:9,2014-07-13,5470
2014-5-21 16:9,2014-07-12,4958
