checkTime,arrivalTime,price
2014-5-20 13:18,2014-07-08,4894
2014-7-11 22:2,2014-07-14,12743
2014-5-20 13:18,2014-07-10,4894
2014-5-20 13:18,2014-07-12,5499
2014-5-20 13:18,2014-07-13,5494
2014-5-20 13:18,2014-07-14,5295
2014-5-20 13:18,2014-07-09,4894
2014-5-20 16:2,2014-07-09,4894
2014-5-20 16:2,2014-07-10,4894
2014-5-20 16:2,2014-07-14,5295
2014-5-20 16:2,2014-07-13,5494
2014-5-20 16:2,2014-07-08,4894
2014-5-20 22:2,2014-07-14,5295
2014-5-20 22:2,2014-07-09,4894
2014-5-20 22:2,2014-07-10,4894
2014-5-21 4:2,2014-07-14,5295
2014-5-20 22:2,2014-07-13,5494
2014-5-20 16:2,2014-07-12,5499
2014-5-21 10:1,2014-07-14,5295
2014-5-21 4:2,2014-07-09,4894
2014-5-21 4:2,2014-07-10,4894
2014-5-21 16:2,2014-07-14,5295
2014-5-21 4:2,2014-07-13,5494
2014-5-20 22:2,2014-07-08,4894
2014-5-21 22:2,2014-07-14,5307
2014-5-21 10:1,2014-07-09,4894
2014-5-21 10:1,2014-07-10,4985
2014-5-22 4:2,2014-07-14,5307
2014-5-21 10:1,2014-07-13,5494
2014-5-20 22:2,2014-07-12,5499
2014-5-22 10:1,2014-07-14,5307
2014-5-21 16:2,2014-07-09,4894
2014-5-21 16:2,2014-07-10,4985
2014-5-22 16:2,2014-07-14,5494
2014-5-21 16:2,2014-07-13,5494
2014-5-21 4:2,2014-07-08,4894
2014-5-22 22:2,2014-07-14,5494
2014-5-21 22:2,2014-07-09,4907
2014-5-21 22:2,2014-07-10,4998
2014-5-23 4:2,2014-07-14,5494
2014-5-21 22:2,2014-07-13,5506
2014-5-21 4:2,2014-07-12,5499
2014-5-23 10:1,2014-07-14,5403
2014-5-22 4:2,2014-07-09,4907
2014-5-22 4:2,2014-07-10,4998
2014-5-23 16:2,2014-07-14,5403
2014-5-22 4:2,2014-07-13,5030
2014-5-21 10:1,2014-07-08,4894
2014-5-23 22:2,2014-07-14,5403
2014-5-22 10:1,2014-07-09,4907
2014-5-22 10:1,2014-07-10,4998
2014-5-24 4:2,2014-07-14,5494
2014-5-22 10:1,2014-07-13,5030
2014-5-21 10:1,2014-07-12,5499
2014-5-24 10:1,2014-07-14,5494
2014-5-22 16:2,2014-07-09,5093
2014-5-22 16:2,2014-07-10,5184
2014-5-24 16:2,2014-07-14,5494
2014-5-22 16:2,2014-07-13,5216
2014-5-21 16:2,2014-07-08,4894
2014-5-24 22:2,2014-07-14,5494
2014-5-22 22:2,2014-07-09,5093
2014-5-22 22:2,2014-07-10,5184
2014-5-25 4:2,2014-07-14,5494
2014-5-22 22:2,2014-07-13,5216
2014-5-21 16:2,2014-07-12,5499
2014-5-25 10:1,2014-07-14,5494
2014-5-23 4:2,2014-07-09,5093
2014-5-23 4:2,2014-07-10,5184
2014-5-25 16:2,2014-07-14,5494
2014-5-23 4:2,2014-07-13,5383
2014-5-21 22:2,2014-07-08,4907
2014-5-25 22:2,2014-07-14,5494
2014-5-23 10:1,2014-07-09,5093
2014-5-23 10:1,2014-07-10,5184
2014-5-26 4:2,2014-07-14,5503
2014-5-23 10:1,2014-07-13,5216
2014-5-21 22:2,2014-07-12,5512
2014-5-26 10:1,2014-07-14,5503
2014-5-23 16:2,2014-07-09,5093
2014-5-23 16:2,2014-07-10,5184
2014-5-26 16:2,2014-07-14,5701
2014-5-23 16:2,2014-07-13,5216
2014-5-22 4:2,2014-07-08,4907
2014-5-26 22:2,2014-07-14,5701
2014-5-23 22:2,2014-07-09,5093
2014-5-23 22:2,2014-07-10,5184
2014-5-27 4:2,2014-07-14,5503
2014-5-23 22:2,2014-07-13,5216
2014-5-22 4:2,2014-07-12,5512
2014-5-27 10:1,2014-07-14,5503
2014-5-24 4:2,2014-07-09,5093
2014-5-24 4:2,2014-07-10,5093
2014-5-27 16:2,2014-07-14,5503
2014-5-24 4:2,2014-07-13,5365
2014-5-22 10:1,2014-07-08,4907
2014-5-27 22:2,2014-07-14,5701
2014-5-24 10:1,2014-07-09,5093
2014-5-24 10:1,2014-07-10,5093
2014-5-28 4:2,2014-07-14,5503
2014-5-24 10:1,2014-07-13,5365
2014-5-22 10:1,2014-07-12,5512
2014-5-28 10:1,2014-07-14,5503
2014-5-24 16:2,2014-07-09,5093
2014-5-24 16:2,2014-07-10,5093
2014-5-28 16:2,2014-07-14,5503
2014-5-24 16:2,2014-07-13,5365
2014-5-22 16:2,2014-07-08,5093
2014-5-28 22:2,2014-07-14,5503
2014-5-24 22:2,2014-07-09,5093
2014-5-24 22:2,2014-07-10,5093
2014-5-29 4:2,2014-07-14,5503
2014-5-24 22:2,2014-07-13,5365
2014-5-22 16:2,2014-07-12,5698
2014-5-29 10:1,2014-07-14,5503
2014-5-25 4:2,2014-07-09,5093
2014-5-25 4:2,2014-07-10,5093
2014-5-29 16:2,2014-07-14,5503
2014-5-25 4:2,2014-07-13,5216
2014-5-22 22:2,2014-07-08,5093
2014-5-29 22:2,2014-07-14,5503
2014-5-25 10:1,2014-07-09,5093
2014-5-25 10:1,2014-07-10,5093
2014-5-30 4:2,2014-07-14,5503
2014-5-25 10:1,2014-07-13,5216
2014-5-22 22:2,2014-07-12,5698
2014-5-30 10:1,2014-07-14,5503
2014-5-25 16:2,2014-07-09,5093
2014-5-25 16:2,2014-07-10,5093
2014-5-30 16:2,2014-07-14,5503
2014-5-25 16:2,2014-07-13,5216
2014-5-23 4:2,2014-07-08,5093
2014-5-30 22:2,2014-07-14,5701
2014-5-25 22:2,2014-07-09,5093
2014-5-25 22:2,2014-07-10,5093
2014-5-31 4:2,2014-07-14,5503
2014-5-25 22:2,2014-07-13,5216
2014-5-23 4:2,2014-07-12,5698
2014-5-31 10:1,2014-07-14,5503
2014-5-26 4:2,2014-07-09,5102
2014-5-26 4:2,2014-07-10,5102
2014-5-31 16:2,2014-07-14,5519
2014-5-26 4:2,2014-07-13,5225
2014-5-23 10:1,2014-07-08,5093
2014-5-31 22:2,2014-07-14,5503
2014-5-26 10:1,2014-07-09,5102
2014-5-26 10:1,2014-07-10,5361
2014-6-1 4:2,2014-07-14,5503
2014-5-26 10:1,2014-07-13,5225
2014-5-23 10:1,2014-07-12,5789
2014-6-1 10:1,2014-07-14,5503
2014-5-26 16:2,2014-07-09,5102
2014-5-26 16:2,2014-07-10,5361
2014-6-1 16:2,2014-07-14,5503
2014-5-26 16:2,2014-07-13,5225
2014-5-23 16:2,2014-07-08,5093
2014-6-1 22:2,2014-07-14,5701
2014-5-26 22:2,2014-07-09,5102
2014-5-26 22:2,2014-07-10,5361
2014-6-2 4:2,2014-07-14,5700
2014-5-26 22:2,2014-07-13,5225
2014-5-23 16:2,2014-07-12,5698
2014-6-2 10:1,2014-07-14,5700
2014-5-27 4:2,2014-07-09,5102
2014-5-27 4:2,2014-07-10,5361
2014-6-2 16:2,2014-07-14,5700
2014-5-27 4:2,2014-07-13,5225
2014-5-23 22:2,2014-07-08,5093
2014-6-2 22:2,2014-07-14,5700
2014-5-27 10:1,2014-07-09,5102
2014-5-27 10:1,2014-07-10,5361
2014-6-3 4:2,2014-07-14,5700
2014-5-27 10:1,2014-07-13,5225
2014-5-23 22:2,2014-07-12,5698
2014-6-3 10:1,2014-07-14,5319
2014-5-27 16:2,2014-07-09,5102
2014-5-27 16:2,2014-07-10,5361
2014-6-3 16:2,2014-07-14,5518
2014-5-27 16:2,2014-07-13,5374
2014-5-24 4:2,2014-07-08,5352
2014-6-3 22:2,2014-07-14,5502
2014-5-27 22:2,2014-07-09,5102
2014-5-27 22:2,2014-07-10,5361
2014-6-4 4:2,2014-07-14,5716
2014-5-27 22:2,2014-07-13,5374
2014-5-24 4:2,2014-07-12,5698
2014-6-4 10:1,2014-07-14,5716
2014-5-28 4:2,2014-07-09,5102
2014-5-28 4:2,2014-07-10,5361
2014-6-4 16:2,2014-07-14,5716
2014-5-28 4:2,2014-07-13,5374
2014-5-24 10:1,2014-07-08,5352
2014-6-4 22:2,2014-07-14,5716
2014-5-28 10:1,2014-07-09,5102
2014-5-28 10:1,2014-07-10,5361
2014-6-5 4:2,2014-07-14,5716
2014-5-28 10:1,2014-07-13,5374
2014-5-24 10:1,2014-07-12,5403
