checkTime,arrivalTime,price
2014-5-20 13:26,2014-07-08,1901
2014-7-11 10:9,2014-07-14,5702
2014-5-20 13:26,2014-07-10,1901
2014-5-20 13:26,2014-07-11,1901
2014-5-20 13:26,2014-07-12,2091
2014-5-20 13:26,2014-07-13,2553
2014-5-20 13:26,2014-07-14,4329
2014-5-20 13:26,2014-07-09,1901
2014-5-20 16:9,2014-07-09,1901
2014-5-20 16:9,2014-07-10,1901
2014-5-20 16:9,2014-07-14,4329
2014-5-20 16:9,2014-07-12,2091
2014-5-20 16:9,2014-07-13,2553
2014-5-20 16:9,2014-07-08,1901
2014-5-20 22:12,2014-07-14,4329
2014-5-20 22:12,2014-07-09,1901
2014-5-20 22:12,2014-07-10,1901
2014-5-21 4:10,2014-07-14,4329
2014-5-20 22:12,2014-07-12,2091
2014-5-20 22:12,2014-07-13,2553
2014-5-20 16:9,2014-07-11,1901
2014-5-21 10:9,2014-07-14,4329
2014-5-21 4:10,2014-07-09,1901
2014-5-21 4:10,2014-07-10,1901
2014-5-21 16:9,2014-07-14,4329
2014-5-21 4:10,2014-07-12,2091
2014-5-21 4:10,2014-07-13,2553
2014-5-20 22:12,2014-07-08,1901
2014-5-21 22:12,2014-07-14,4329
2014-5-21 10:9,2014-07-09,1901
2014-5-21 10:9,2014-07-10,1901
2014-5-22 4:10,2014-07-14,4329
2014-5-21 10:9,2014-07-12,2091
2014-5-21 10:9,2014-07-13,2553
2014-5-20 22:12,2014-07-11,1901
2014-5-22 10:9,2014-07-14,4329
2014-5-21 16:9,2014-07-09,1901
2014-5-21 16:9,2014-07-10,1901
2014-5-22 16:9,2014-07-14,4329
2014-5-21 16:9,2014-07-12,2091
2014-5-21 16:9,2014-07-13,2553
2014-5-21 4:10,2014-07-08,1901
2014-5-22 22:12,2014-07-14,4329
2014-5-21 22:12,2014-07-09,1901
2014-5-21 22:12,2014-07-10,1901
2014-5-23 4:10,2014-07-14,4329
2014-5-21 22:12,2014-07-12,2091
2014-5-21 22:12,2014-07-13,2553
2014-5-21 4:10,2014-07-11,1901
2014-5-23 10:9,2014-07-14,4329
2014-5-22 4:10,2014-07-09,1901
2014-5-22 4:10,2014-07-10,1901
2014-5-23 16:9,2014-07-14,4329
2014-5-22 4:10,2014-07-12,2091
2014-5-22 4:10,2014-07-13,2553
2014-5-21 10:9,2014-07-08,1901
2014-5-23 22:12,2014-07-14,4329
2014-5-22 10:9,2014-07-09,1901
2014-5-22 10:9,2014-07-10,1901
2014-5-24 4:10,2014-07-14,4329
2014-5-22 10:9,2014-07-12,2091
2014-5-22 10:9,2014-07-13,2553
2014-5-21 10:9,2014-07-11,1901
2014-5-24 10:9,2014-07-14,4329
2014-5-22 16:9,2014-07-09,1901
2014-5-22 16:9,2014-07-10,1901
2014-5-24 16:9,2014-07-14,4329
2014-5-22 16:9,2014-07-12,2091
2014-5-22 16:9,2014-07-13,2553
2014-5-21 16:9,2014-07-08,1901
2014-5-24 22:12,2014-07-14,4329
2014-5-22 22:12,2014-07-09,1901
2014-5-22 22:12,2014-07-10,1901
2014-5-25 4:10,2014-07-14,4329
2014-5-22 22:12,2014-07-12,2091
2014-5-22 22:12,2014-07-13,2553
2014-5-21 16:9,2014-07-11,1901
2014-5-25 10:9,2014-07-14,4329
2014-5-23 4:10,2014-07-09,1901
2014-5-23 4:10,2014-07-10,1901
2014-5-25 16:9,2014-07-14,4329
2014-5-23 4:10,2014-07-12,2091
2014-5-23 4:10,2014-07-13,2553
2014-5-21 22:12,2014-07-08,1901
2014-5-25 22:12,2014-07-14,4329
2014-5-23 10:9,2014-07-09,1901
2014-5-23 10:9,2014-07-10,1901
2014-5-26 4:10,2014-07-14,4329
2014-5-23 10:9,2014-07-12,2091
2014-5-23 10:9,2014-07-13,2553
2014-5-21 22:12,2014-07-11,1901
2014-5-26 10:9,2014-07-14,4329
2014-5-23 16:9,2014-07-09,1901
2014-5-23 16:9,2014-07-10,1901
2014-5-26 16:9,2014-07-14,4329
2014-5-23 16:9,2014-07-12,2091
2014-5-23 16:9,2014-07-13,2553
2014-5-22 4:10,2014-07-08,1901
2014-5-26 22:12,2014-07-14,4329
2014-5-23 22:12,2014-07-09,1901
2014-5-23 22:12,2014-07-10,1901
2014-5-27 4:10,2014-07-14,4329
2014-5-23 22:12,2014-07-12,2091
2014-5-23 22:12,2014-07-13,2553
2014-5-22 4:10,2014-07-11,1901
2014-5-27 10:9,2014-07-14,4329
2014-5-24 4:10,2014-07-09,1901
2014-5-24 4:10,2014-07-10,1901
2014-5-27 16:9,2014-07-14,4329
2014-5-24 4:10,2014-07-12,2091
2014-5-24 4:10,2014-07-13,2553
2014-5-22 10:9,2014-07-08,1901
2014-5-27 22:12,2014-07-14,4329
2014-5-24 10:9,2014-07-09,1901
2014-5-24 10:9,2014-07-10,1901
2014-5-28 4:10,2014-07-14,4329
2014-5-24 10:9,2014-07-12,2091
2014-5-24 10:9,2014-07-13,2553
2014-5-22 10:9,2014-07-11,1901
2014-5-28 10:9,2014-07-14,4329
2014-5-24 16:9,2014-07-09,1901
2014-5-24 16:9,2014-07-10,1901
2014-5-28 16:9,2014-07-14,4329
2014-5-24 16:9,2014-07-12,2091
2014-5-24 16:9,2014-07-13,2553
2014-5-22 16:9,2014-07-08,1901
