checkTime,arrivalTime,price
2014-5-20 13:18,2014-07-09,2299
2014-7-11 10:1,2014-07-13,3706
2014-5-20 13:18,2014-07-11,2299
2014-5-20 13:18,2014-07-12,2299
2014-5-20 13:18,2014-07-13,3657
2014-5-20 16:1,2014-07-09,2299
2014-5-20 16:1,2014-07-10,2299
2014-5-20 13:18,2014-07-10,2299
2014-5-20 16:1,2014-07-12,2299
2014-5-20 16:1,2014-07-13,4905
2014-5-20 22:1,2014-07-13,4905
2014-5-20 22:1,2014-07-10,2299
2014-5-21 4:1,2014-07-13,4905
2014-5-20 22:1,2014-07-12,2299
2014-5-20 16:1,2014-07-11,2299
2014-5-21 10:1,2014-07-13,3706
2014-5-21 4:1,2014-07-10,2299
2014-5-21 16:1,2014-07-13,3706
2014-5-21 4:1,2014-07-12,2299
2014-5-20 22:1,2014-07-09,2299
2014-5-21 22:1,2014-07-13,3706
2014-5-21 10:1,2014-07-10,2299
2014-5-22 4:1,2014-07-13,3153
2014-5-21 10:1,2014-07-12,2299
2014-5-20 22:1,2014-07-11,2299
2014-5-22 10:1,2014-07-13,3153
2014-5-21 16:1,2014-07-10,2299
2014-5-22 16:1,2014-07-13,3153
2014-5-21 16:1,2014-07-12,2299
2014-5-21 4:1,2014-07-09,2299
2014-5-22 22:1,2014-07-13,3153
2014-5-21 22:1,2014-07-10,2299
2014-5-23 4:1,2014-07-13,3153
2014-5-21 22:1,2014-07-12,2299
2014-5-21 4:1,2014-07-11,2299
2014-5-23 10:1,2014-07-13,3706
2014-5-22 4:1,2014-07-10,2299
2014-5-23 16:1,2014-07-13,3706
2014-5-22 4:1,2014-07-12,2299
2014-5-21 10:1,2014-07-09,2299
2014-5-23 22:1,2014-07-13,3706
2014-5-22 10:1,2014-07-10,2299
2014-5-24 4:1,2014-07-13,3706
2014-5-22 10:1,2014-07-12,2299
2014-5-21 10:1,2014-07-11,2299
2014-5-24 10:1,2014-07-13,3706
2014-5-22 16:1,2014-07-10,2299
2014-5-24 16:1,2014-07-13,3706
2014-5-22 16:1,2014-07-12,2299
2014-5-21 16:1,2014-07-09,2299
2014-5-24 22:1,2014-07-13,3706
2014-5-22 22:1,2014-07-10,2299
2014-5-25 4:1,2014-07-13,3706
2014-5-22 22:1,2014-07-12,2299
2014-5-21 16:1,2014-07-11,2299
2014-5-25 10:1,2014-07-13,3706
2014-5-23 4:1,2014-07-10,2299
2014-5-25 16:1,2014-07-13,3706
2014-5-23 4:1,2014-07-12,2299
2014-5-21 22:1,2014-07-09,2299
2014-5-25 22:1,2014-07-13,3706
2014-5-23 10:1,2014-07-10,2299
2014-5-26 4:1,2014-07-13,3705
2014-5-23 10:1,2014-07-12,2299
2014-5-21 22:1,2014-07-11,2299
2014-5-26 10:1,2014-07-13,3705
2014-5-23 16:1,2014-07-10,2299
2014-5-26 16:1,2014-07-13,3705
2014-5-23 16:1,2014-07-12,2299
2014-5-22 4:1,2014-07-09,2299
2014-5-26 22:1,2014-07-13,3705
2014-5-23 22:1,2014-07-10,2299
2014-5-27 4:1,2014-07-13,3705
2014-5-23 22:1,2014-07-12,2299
2014-5-22 4:1,2014-07-11,2299
2014-5-27 10:1,2014-07-13,3705
2014-5-24 4:1,2014-07-10,2299
2014-5-27 16:1,2014-07-13,3705
