checkTime,arrivalTime,price
2014-5-20 13:22,2014-07-09,3551
2014-7-11 16:5,2014-07-14,8523
2014-5-20 13:22,2014-07-11,3551
2014-5-20 13:22,2014-07-12,4991
2014-5-20 13:22,2014-07-13,6047
2014-5-20 16:5,2014-07-09,3551
2014-5-20 16:5,2014-07-10,3219
2014-5-20 13:22,2014-07-10,3219
2014-5-20 16:5,2014-07-12,4991
2014-5-20 16:5,2014-07-13,6047
2014-5-20 22:5,2014-07-13,6047
2014-5-20 22:5,2014-07-10,3219
2014-5-21 4:6,2014-07-13,6047
2014-5-20 22:5,2014-07-12,4991
2014-5-20 16:5,2014-07-11,3551
2014-5-21 10:5,2014-07-13,6047
2014-5-21 4:6,2014-07-10,3219
2014-5-21 22:5,2014-07-13,6047
2014-5-21 4:6,2014-07-12,4991
2014-5-20 22:5,2014-07-09,3551
2014-5-22 10:5,2014-07-13,6047
2014-5-21 10:5,2014-07-10,3219
2014-5-22 16:5,2014-07-13,6047
2014-5-21 10:5,2014-07-12,4991
2014-5-20 22:5,2014-07-11,3551
2014-5-22 22:5,2014-07-13,6047
2014-5-21 22:5,2014-07-10,3219
2014-5-23 4:6,2014-07-13,6047
2014-5-21 22:5,2014-07-12,3773
2014-5-21 4:6,2014-07-09,3551
2014-5-23 10:5,2014-07-13,6047
2014-5-22 10:5,2014-07-10,3219
2014-5-23 22:5,2014-07-13,6047
2014-5-22 10:5,2014-07-12,3773
2014-5-21 4:6,2014-07-11,3551
2014-5-24 4:6,2014-07-13,6047
2014-5-22 16:5,2014-07-10,3219
2014-5-24 10:5,2014-07-13,6047
2014-5-22 16:5,2014-07-12,3773
2014-5-21 10:5,2014-07-09,3551
2014-5-24 16:5,2014-07-13,6047
2014-5-22 22:5,2014-07-10,3219
2014-5-24 22:5,2014-07-13,6047
2014-5-22 22:5,2014-07-12,3773
2014-5-21 10:5,2014-07-11,3551
2014-5-25 4:6,2014-07-13,6047
2014-5-23 4:6,2014-07-10,3219
2014-5-25 10:5,2014-07-13,6047
2014-5-23 4:6,2014-07-12,3773
2014-5-21 22:5,2014-07-09,3551
2014-5-25 16:5,2014-07-13,6047
2014-5-23 10:5,2014-07-10,3219
2014-5-25 22:5,2014-07-13,6047
2014-5-23 10:5,2014-07-12,3773
2014-5-21 22:5,2014-07-11,3551
2014-5-26 4:6,2014-07-13,6047
2014-5-23 22:5,2014-07-10,3219
2014-5-26 10:5,2014-07-13,6047
2014-5-23 22:5,2014-07-12,3773
2014-5-22 10:5,2014-07-09,3551
2014-5-26 16:5,2014-07-13,6047
2014-5-24 4:6,2014-07-10,3219
2014-5-26 22:5,2014-07-13,6047
2014-5-24 4:6,2014-07-12,3773
2014-5-22 10:5,2014-07-11,3551
2014-5-27 4:6,2014-07-13,6047
2014-5-24 10:5,2014-07-10,3219
2014-5-27 10:5,2014-07-13,6047
2014-5-24 10:5,2014-07-12,3773
2014-5-22 16:5,2014-07-09,3551
2014-5-27 16:5,2014-07-13,6047
2014-5-24 16:5,2014-07-10,3219
2014-5-27 22:5,2014-07-13,6047
2014-5-24 16:5,2014-07-12,3773
2014-5-22 16:5,2014-07-11,3551
2014-5-28 4:6,2014-07-13,6047
2014-5-24 22:5,2014-07-10,3219
2014-5-28 10:5,2014-07-13,6047
2014-5-24 22:5,2014-07-12,3773
2014-5-22 22:5,2014-07-09,3551
2014-5-28 16:5,2014-07-13,6047
2014-5-25 4:6,2014-07-10,3219
2014-5-28 22:5,2014-07-13,6047
2014-5-25 4:6,2014-07-12,3773
2014-5-22 22:5,2014-07-11,3551
2014-5-29 4:6,2014-07-13,6047
2014-5-25 10:5,2014-07-10,3219
2014-5-29 10:5,2014-07-13,6047
2014-5-25 10:5,2014-07-12,3773
2014-5-23 4:6,2014-07-09,3551
2014-5-29 16:5,2014-07-13,6047
2014-5-25 16:5,2014-07-10,3219
2014-5-29 22:5,2014-07-13,6047
2014-5-25 16:5,2014-07-12,3773
2014-5-23 4:6,2014-07-11,3551
2014-5-30 4:6,2014-07-13,6047
2014-5-25 22:5,2014-07-10,3219
2014-5-30 10:5,2014-07-13,6047
2014-5-25 22:5,2014-07-12,3773
2014-5-23 10:5,2014-07-09,3551
2014-5-30 16:5,2014-07-13,6047
2014-5-26 4:6,2014-07-10,3220
2014-5-30 22:5,2014-07-13,6047
2014-5-26 4:6,2014-07-12,3774
2014-5-23 10:5,2014-07-11,3551
2014-5-31 4:6,2014-07-13,6047
2014-5-26 10:5,2014-07-10,3220
2014-5-31 10:5,2014-07-13,6047
2014-5-26 10:5,2014-07-12,3774
2014-5-23 22:5,2014-07-09,3551
2014-5-31 16:5,2014-07-13,6047
2014-5-26 16:5,2014-07-10,3220
2014-5-31 22:5,2014-07-13,6047
2014-5-26 16:5,2014-07-12,3774
2014-5-23 22:5,2014-07-11,3102
2014-6-1 4:6,2014-07-13,6047
2014-5-26 22:5,2014-07-10,3220
2014-6-1 10:5,2014-07-13,6047
2014-5-26 22:5,2014-07-12,3774
2014-5-24 4:6,2014-07-09,3551
2014-6-1 16:5,2014-07-13,6047
2014-5-27 4:6,2014-07-10,3220
2014-6-1 22:5,2014-07-13,6047
2014-5-27 4:6,2014-07-12,3774
2014-5-24 4:6,2014-07-11,3102
2014-6-2 4:6,2014-07-13,6051
2014-5-27 10:5,2014-07-10,3220
2014-6-2 10:5,2014-07-13,6051
2014-5-27 10:5,2014-07-12,3774
