checkTime,arrivalTime,price
2014-5-20 13:17,2014-6-30,1734
2014-7-11 22:0,2014-7-20,2680.11
2014-5-20 13:17,2014-7-14,2894
2014-5-20 13:17,2014-7-1,1734
2014-5-20 13:17,2014-7-2,1314
2014-5-20 13:17,2014-7-9,1284
2014-5-20 13:17,2014-7-16,1464
2014-5-20 13:17,2014-7-3,1284
2014-5-20 13:17,2014-7-10,1064
2014-5-20 13:17,2014-7-17,1064
2014-5-20 13:17,2014-7-4,1464
2014-5-20 13:17,2014-7-11,1464
2014-5-20 13:17,2014-7-18,1094
2014-5-20 13:17,2014-7-6,1734
2014-5-20 13:17,2014-7-13,1804
2014-5-20 13:17,2014-7-20,1734
2014-5-20 13:17,2014-7-7,1494
2014-5-20 13:17,2014-7-7,2478.23
2014-5-20 13:17,2014-7-14,2298.23
2014-5-20 13:17,2014-7-1,1988.23
2014-5-20 13:17,2014-7-2,2048.23
2014-5-20 13:17,2014-7-9,2078.23
2014-5-20 13:17,2014-7-16,2298.23
2014-5-20 13:17,2014-7-3,1748.23
2014-5-20 13:17,2014-7-10,1988.23
2014-5-20 13:17,2014-7-17,1838.23
2014-5-20 13:17,2014-7-4,2298.23
2014-5-20 13:17,2014-7-11,3878.23
2014-5-20 13:17,2014-7-18,2298.23
2014-5-20 13:17,2014-7-6,2228.23
2014-5-20 13:17,2014-7-13,2228.23
2014-5-20 13:17,2014-6-30,2108.23
2014-5-20 13:17,2014-7-20,1958.23
2014-5-20 16:0,2014-7-7,1494
2014-5-20 16:0,2014-7-14,2894
2014-5-20 16:0,2014-7-1,1734
2014-5-20 16:0,2014-7-2,1314
2014-5-20 16:0,2014-7-9,1284
2014-5-20 16:0,2014-7-16,1464
2014-5-20 16:0,2014-7-3,1284
2014-5-20 16:0,2014-7-10,1064
2014-5-20 16:0,2014-7-17,1064
2014-5-20 16:0,2014-7-4,1464
2014-5-20 16:0,2014-7-11,1464
2014-5-20 16:0,2014-7-18,1094
2014-5-20 16:0,2014-7-6,1734
2014-5-20 16:0,2014-7-13,1804
2014-5-20 16:0,2014-7-20,1734
2014-5-20 16:0,2014-7-20,1958.23
2014-5-20 16:0,2014-7-7,2478.23
2014-5-20 16:0,2014-7-14,2298.23
2014-5-20 16:0,2014-7-1,1988.23
2014-5-20 16:0,2014-7-2,2048.23
2014-5-20 16:0,2014-7-9,2078.23
2014-5-20 16:0,2014-7-16,2298.23
2014-5-20 16:0,2014-7-3,1748.23
2014-5-20 16:0,2014-7-10,1988.23
2014-5-20 16:0,2014-7-17,1838.23
2014-5-20 16:0,2014-7-4,2298.23
2014-5-20 16:0,2014-7-11,3878.23
2014-5-20 16:0,2014-7-18,2298.23
2014-5-20 16:0,2014-7-6,2228.23
2014-5-20 16:0,2014-7-13,2228.23
2014-5-20 16:0,2014-6-30,1734
2014-5-20 22:0,2014-7-20,1958.23
2014-5-20 22:0,2014-7-7,1494
2014-5-20 22:0,2014-7-14,2894
2014-5-20 22:0,2014-7-1,1734
2014-5-20 22:0,2014-7-2,1314
2014-5-20 22:0,2014-7-9,1284
2014-5-20 22:0,2014-7-16,1464
2014-5-20 22:0,2014-7-3,1284
2014-5-20 22:0,2014-7-10,1064
2014-5-20 22:0,2014-7-17,1064
2014-5-20 22:0,2014-7-4,1464
2014-5-20 22:0,2014-7-11,1464
2014-5-20 22:0,2014-7-18,1094
2014-5-20 22:0,2014-7-6,1734
2014-5-20 22:0,2014-7-13,1804
2014-5-20 22:0,2014-7-20,1734
2014-5-21 4:0,2014-7-20,1958.35
2014-5-20 22:0,2014-7-7,2478.23
2014-5-20 22:0,2014-7-14,2298.23
2014-5-20 22:0,2014-7-1,1988.23
2014-5-20 22:0,2014-7-2,2048.23
2014-5-20 22:0,2014-7-9,2078.23
2014-5-20 22:0,2014-7-16,2298.23
2014-5-20 22:0,2014-7-3,1748.23
2014-5-20 22:0,2014-7-10,1988.23
2014-5-20 22:0,2014-7-17,1838.23
2014-5-20 22:0,2014-7-4,2298.23
2014-5-20 22:0,2014-7-11,3878.23
2014-5-20 22:0,2014-7-18,2298.23
2014-5-20 22:0,2014-7-6,2228.23
2014-5-20 22:0,2014-7-13,2228.23
2014-5-20 16:0,2014-6-30,2108.23
2014-5-21 10:0,2014-7-20,1988.35
2014-5-21 4:0,2014-7-7,1494
2014-5-21 4:0,2014-7-14,2894
2014-5-21 4:0,2014-7-1,1734
2014-5-21 4:0,2014-7-2,1314
2014-5-21 4:0,2014-7-9,1284
2014-5-21 4:0,2014-7-16,1464
2014-5-21 4:0,2014-7-3,1284
2014-5-21 4:0,2014-7-10,1064
2014-5-21 4:0,2014-7-17,1064
2014-5-21 4:0,2014-7-4,1464
2014-5-21 4:0,2014-7-11,1464
2014-5-21 4:0,2014-7-18,1094
2014-5-21 4:0,2014-7-6,1734
2014-5-21 4:0,2014-7-13,1804
2014-5-21 4:0,2014-7-20,1734
2014-5-21 16:0,2014-7-20,1988.35
2014-5-21 4:0,2014-7-7,2478.35
2014-5-21 4:0,2014-7-14,2298.35
2014-5-21 4:0,2014-7-1,1988.35
2014-5-21 4:0,2014-7-2,2048.35
2014-5-21 4:0,2014-7-9,2078.35
2014-5-21 4:0,2014-7-16,2298.35
2014-5-21 4:0,2014-7-3,1748.35
2014-5-21 4:0,2014-7-10,1988.35
2014-5-21 4:0,2014-7-17,1838.35
2014-5-21 4:0,2014-7-4,2298.35
2014-5-21 4:0,2014-7-11,3878.35
2014-5-21 4:0,2014-7-18,2298.35
2014-5-21 4:0,2014-7-6,2228.35
2014-5-21 4:0,2014-7-13,2228.35
2014-5-20 22:0,2014-6-30,1734
2014-5-21 22:0,2014-7-20,2228.35
2014-5-21 10:0,2014-7-7,1494
2014-5-21 10:0,2014-7-14,2894
2014-5-21 10:0,2014-7-1,1734
2014-5-21 10:0,2014-7-2,1314
2014-5-21 10:0,2014-7-9,1284
2014-5-21 10:0,2014-7-16,1464
2014-5-21 10:0,2014-7-3,1284
2014-5-21 10:0,2014-7-10,1064
2014-5-21 10:0,2014-7-17,1064
