checkTime,arrivalTime,price
2014-5-20 13:32,2014-6-30,3144
2014-7-11 22:16,2014-7-20,4345.6
2014-5-20 13:32,2014-7-14,1924
2014-5-20 13:32,2014-7-1,2074
2014-5-20 13:32,2014-7-8,1734
2014-5-20 13:32,2014-7-15,1734
2014-5-20 13:32,2014-7-2,1804
2014-5-20 13:32,2014-7-9,1804
2014-5-20 13:32,2014-7-16,1494
2014-5-20 13:32,2014-7-3,1804
2014-5-20 13:32,2014-7-10,1734
2014-5-20 13:32,2014-7-17,1374
2014-5-20 13:32,2014-7-4,1804
2014-5-20 13:32,2014-7-11,1804
2014-5-20 13:32,2014-7-18,2074
2014-5-20 13:32,2014-7-5,3384
2014-5-20 13:32,2014-7-12,3174
2014-5-20 13:32,2014-7-19,2534
2014-5-20 13:32,2014-7-6,2894
2014-5-20 13:32,2014-7-13,3754
2014-5-20 13:32,2014-7-20,3084
2014-5-20 13:32,2014-7-7,2074
2014-5-20 13:32,2014-7-7,2141.9
2014-5-20 13:32,2014-7-14,2141.9
2014-5-20 13:32,2014-7-1,1811.9
2014-5-20 13:32,2014-7-8,1811.9
2014-5-20 13:32,2014-7-15,2111.9
2014-5-20 13:32,2014-7-2,1721.9
2014-5-20 13:32,2014-7-9,2051.9
2014-5-20 13:32,2014-7-16,2141.9
2014-5-20 13:32,2014-7-3,2241.9
2014-5-20 13:32,2014-7-10,2511.9
2014-5-20 13:32,2014-7-17,3061.9
2014-5-20 13:32,2014-7-4,2691.9
2014-5-20 13:32,2014-7-11,2791.9
2014-5-20 13:32,2014-7-18,3941.9
2014-5-20 13:32,2014-7-5,3461.9
2014-5-20 13:32,2014-7-12,4251.9
2014-5-20 13:32,2014-7-19,4551.9
2014-5-20 13:32,2014-7-6,2301.9
2014-5-20 13:32,2014-7-13,2141.9
2014-5-20 13:32,2014-6-30,1661.9
2014-5-20 13:32,2014-7-20,2881.9
2014-5-20 16:15,2014-7-7,2164
2014-5-20 16:15,2014-7-14,1924
2014-5-20 16:15,2014-7-1,2074
2014-5-20 16:15,2014-7-8,1734
2014-5-20 16:15,2014-7-15,1734
2014-5-20 16:15,2014-7-2,1804
2014-5-20 16:15,2014-7-9,1804
2014-5-20 16:15,2014-7-16,1494
2014-5-20 16:15,2014-7-3,1804
2014-5-20 16:15,2014-7-10,1734
2014-5-20 16:15,2014-7-17,1374
