checkTime,arrivalTime,price
2014-5-20 14:26,2014-07-08,6886
2014-7-11 22:5,2014-07-14,27178
2014-5-20 14:26,2014-07-10,6700
2014-5-20 14:26,2014-07-12,10588
2014-5-20 14:26,2014-07-13,21639
2014-5-20 14:26,2014-07-14,21639
2014-5-20 14:26,2014-07-09,6886
2014-5-20 16:5,2014-07-09,6886
2014-5-20 16:5,2014-07-10,6700
2014-5-20 16:5,2014-07-14,21639
2014-5-20 16:5,2014-07-13,21639
2014-5-20 16:5,2014-07-08,6886
2014-5-20 22:5,2014-07-14,21639
2014-5-20 22:5,2014-07-09,6886
2014-5-20 22:5,2014-07-10,6700
2014-5-21 4:4,2014-07-14,21639
2014-5-20 22:5,2014-07-13,21639
2014-5-20 16:5,2014-07-12,9844
2014-5-21 10:6,2014-07-14,21639
2014-5-21 4:4,2014-07-09,6886
2014-5-21 4:4,2014-07-10,6700
2014-5-21 16:5,2014-07-14,21639
2014-5-21 4:4,2014-07-13,21639
2014-5-20 22:5,2014-07-08,6886
2014-5-21 22:5,2014-07-14,21639
2014-5-21 10:6,2014-07-09,6886
2014-5-21 10:6,2014-07-10,6700
2014-5-22 4:4,2014-07-14,21639
2014-5-21 10:6,2014-07-13,21639
2014-5-20 22:5,2014-07-12,10588
2014-5-22 10:6,2014-07-14,21639
2014-5-21 16:5,2014-07-09,6886
2014-5-21 16:5,2014-07-10,6700
2014-5-22 16:5,2014-07-14,21639
2014-5-21 16:5,2014-07-13,21639
2014-5-21 4:4,2014-07-08,6886
2014-5-22 22:5,2014-07-14,21639
2014-5-21 22:5,2014-07-09,6886
2014-5-21 22:5,2014-07-10,6700
2014-5-23 4:4,2014-07-14,21639
2014-5-21 22:5,2014-07-13,21639
2014-5-21 4:4,2014-07-12,10588
2014-5-23 10:6,2014-07-14,21639
2014-5-22 4:4,2014-07-09,7128
2014-5-22 4:4,2014-07-10,6700
2014-5-23 16:5,2014-07-14,21639
2014-5-22 4:4,2014-07-13,21163
2014-5-21 10:6,2014-07-08,6886
2014-5-23 22:5,2014-07-14,21639
2014-5-22 10:6,2014-07-09,7128
2014-5-22 10:6,2014-07-10,6700
2014-5-24 4:4,2014-07-14,21639
2014-5-22 10:6,2014-07-13,21163
2014-5-21 10:6,2014-07-12,10588
2014-5-24 10:6,2014-07-14,21639
2014-5-22 16:5,2014-07-09,7128
