checkTime,arrivalTime,price
2014-5-20 14:25,2014-07-08,5058
2014-7-11 16:6,2014-07-14,6158
2014-5-20 14:25,2014-07-10,5058
2014-5-20 14:25,2014-07-11,5058
2014-5-20 14:25,2014-07-12,5058
2014-5-20 14:25,2014-07-13,5058
2014-5-20 14:25,2014-07-14,5058
2014-5-20 14:25,2014-07-09,5058
2014-5-20 16:6,2014-07-09,5058
2014-5-20 16:6,2014-07-10,5058
2014-5-20 16:6,2014-07-14,5058
2014-5-20 16:6,2014-07-12,5058
2014-5-20 16:6,2014-07-13,5058
2014-5-20 16:6,2014-07-08,5058
2014-5-20 22:7,2014-07-14,5058
2014-5-20 22:7,2014-07-09,5058
2014-5-20 22:7,2014-07-10,5058
2014-5-21 4:5,2014-07-14,5058
2014-5-20 22:7,2014-07-12,5058
2014-5-20 22:7,2014-07-13,5058
2014-5-20 16:6,2014-07-11,5058
2014-5-21 10:5,2014-07-14,5058
2014-5-21 4:5,2014-07-09,5058
2014-5-21 4:5,2014-07-10,5058
2014-5-21 16:6,2014-07-14,5058
2014-5-21 4:5,2014-07-12,5058
2014-5-21 4:5,2014-07-13,5058
2014-5-20 22:7,2014-07-08,5058
2014-5-21 22:7,2014-07-14,5058
2014-5-21 10:5,2014-07-09,5058
2014-5-21 10:5,2014-07-10,5058
2014-5-22 4:5,2014-07-14,5058
2014-5-21 10:5,2014-07-12,5058
2014-5-21 10:5,2014-07-13,5058
2014-5-20 22:7,2014-07-11,5058
2014-5-22 10:5,2014-07-14,5058
2014-5-21 16:6,2014-07-09,5058
2014-5-21 16:6,2014-07-10,5058
2014-5-22 16:6,2014-07-14,5058
2014-5-21 16:6,2014-07-12,5058
2014-5-21 16:6,2014-07-13,5058
2014-5-21 4:5,2014-07-08,5058
2014-5-22 22:7,2014-07-14,5058
2014-5-21 22:7,2014-07-09,5058
2014-5-21 22:7,2014-07-10,5058
2014-5-23 4:5,2014-07-14,5058
2014-5-21 22:7,2014-07-12,5058
2014-5-21 22:7,2014-07-13,5058
2014-5-21 4:5,2014-07-11,5058
2014-5-23 10:5,2014-07-14,5058
2014-5-22 4:5,2014-07-09,5058
2014-5-22 4:5,2014-07-10,5058
2014-5-23 16:6,2014-07-14,5058
2014-5-22 4:5,2014-07-12,5058
2014-5-22 4:5,2014-07-13,5058
2014-5-21 10:5,2014-07-08,5058
2014-5-23 22:7,2014-07-14,5058
2014-5-22 10:5,2014-07-09,5058
2014-5-22 10:5,2014-07-10,5058
2014-5-24 4:5,2014-07-14,5058
2014-5-22 10:5,2014-07-12,5058
2014-5-22 10:5,2014-07-13,5058
2014-5-21 10:5,2014-07-11,5058
2014-5-24 10:5,2014-07-14,5058
2014-5-22 16:6,2014-07-09,5058
2014-5-22 16:6,2014-07-10,5058
2014-5-24 16:6,2014-07-14,5058
2014-5-22 16:6,2014-07-12,5058
2014-5-22 16:6,2014-07-13,5058
2014-5-21 16:6,2014-07-08,5058
2014-5-24 22:7,2014-07-14,5058
2014-5-22 22:7,2014-07-09,5058
2014-5-22 22:7,2014-07-10,5058
2014-5-25 4:5,2014-07-14,5058
2014-5-22 22:7,2014-07-12,5058
2014-5-22 22:7,2014-07-13,5058
2014-5-21 16:6,2014-07-11,5058
2014-5-25 10:5,2014-07-14,5058
2014-5-23 4:5,2014-07-09,5058
2014-5-23 4:5,2014-07-10,5058
2014-5-25 16:6,2014-07-14,5058
2014-5-23 4:5,2014-07-12,5058
2014-5-23 4:5,2014-07-13,5058
2014-5-21 22:7,2014-07-08,5058
2014-5-25 22:7,2014-07-14,5058
2014-5-23 10:5,2014-07-09,5058
2014-5-23 10:5,2014-07-10,5058
2014-5-26 4:5,2014-07-14,5058
2014-5-23 10:5,2014-07-12,5058
2014-5-23 10:5,2014-07-13,5058
2014-5-21 22:7,2014-07-11,5058
2014-5-26 10:5,2014-07-14,5059
2014-5-23 16:6,2014-07-09,5058
2014-5-23 16:6,2014-07-10,5058
2014-5-26 16:6,2014-07-14,5059
2014-5-23 16:6,2014-07-12,5058
2014-5-23 16:6,2014-07-13,5058
2014-5-22 4:5,2014-07-08,5058
2014-5-26 22:7,2014-07-14,5059
2014-5-23 22:7,2014-07-09,5058
2014-5-23 22:7,2014-07-10,5058
2014-5-27 4:5,2014-07-14,5059
2014-5-23 22:7,2014-07-12,5058
2014-5-23 22:7,2014-07-13,5058
2014-5-22 4:5,2014-07-11,5058
2014-5-27 10:5,2014-07-14,5059
2014-5-24 4:5,2014-07-09,5058
2014-5-24 4:5,2014-07-10,5058
2014-5-27 16:6,2014-07-14,5059
2014-5-24 4:5,2014-07-12,5058
2014-5-24 4:5,2014-07-13,5058
2014-5-22 10:5,2014-07-08,5058
2014-5-27 22:7,2014-07-14,5059
2014-5-24 10:5,2014-07-09,5058
2014-5-24 10:5,2014-07-10,5058
2014-5-28 4:5,2014-07-14,5059
2014-5-24 10:5,2014-07-12,5058
2014-5-24 10:5,2014-07-13,5058
2014-5-22 10:5,2014-07-11,5058
2014-5-28 10:5,2014-07-14,5059
2014-5-24 16:6,2014-07-09,5058
2014-5-24 16:6,2014-07-10,5058
2014-5-28 16:6,2014-07-14,5059
2014-5-24 16:6,2014-07-12,5058
2014-5-24 16:6,2014-07-13,5058
2014-5-22 16:6,2014-07-08,5058
2014-5-28 22:7,2014-07-14,5059
2014-5-24 22:7,2014-07-09,5058
2014-5-24 22:7,2014-07-10,5058
2014-5-29 4:5,2014-07-14,5059
2014-5-24 22:7,2014-07-12,5058
2014-5-24 22:7,2014-07-13,5058
2014-5-22 16:6,2014-07-11,5058
2014-5-29 10:5,2014-07-14,5059
2014-5-25 4:5,2014-07-09,5058
2014-5-25 4:5,2014-07-10,5058
2014-5-29 16:6,2014-07-14,5059
2014-5-25 4:5,2014-07-12,5058
2014-5-25 4:5,2014-07-13,5058
2014-5-22 22:7,2014-07-08,5058
2014-5-29 22:7,2014-07-14,5059
2014-5-25 10:5,2014-07-09,5058
2014-5-25 10:5,2014-07-10,5058
2014-5-30 4:5,2014-07-14,5059
2014-5-25 10:5,2014-07-12,5058
