checkTime,arrivalTime,price
2014-5-20 14:24,2014-6-30,2354
2014-7-11 22:6,2014-7-20,5696.5
2014-5-20 14:24,2014-7-14,1404
2014-5-20 14:24,2014-7-1,1164
2014-5-20 14:24,2014-7-2,1004
2014-5-20 14:24,2014-7-9,1224
2014-5-20 14:24,2014-7-16,1614
2014-5-20 14:24,2014-7-3,1004
2014-5-20 14:24,2014-7-10,1004
2014-5-20 14:24,2014-7-17,1614
2014-5-20 14:24,2014-7-4,1374
2014-5-20 14:24,2014-7-11,1194
2014-5-20 14:24,2014-7-18,1614
2014-5-20 14:24,2014-7-6,1614
2014-5-20 14:24,2014-7-13,1614
2014-5-20 14:24,2014-7-20,2074
2014-5-20 14:24,2014-7-7,1674
2014-5-20 14:24,2014-7-7,2104
2014-5-20 14:24,2014-7-14,2444
2014-5-20 14:24,2014-7-1,1614
2014-5-20 14:24,2014-7-2,1614
2014-5-20 14:24,2014-7-9,3264
2014-5-20 14:24,2014-7-16,1984
2014-5-20 14:24,2014-7-3,1984
2014-5-20 14:24,2014-7-10,2354
2014-5-20 14:24,2014-7-17,1984
2014-5-20 14:24,2014-7-4,2804
2014-5-20 14:24,2014-7-11,2444
2014-5-20 14:24,2014-7-18,1984
2014-5-20 14:24,2014-7-6,3264
2014-5-20 14:24,2014-7-13,2354
2014-5-20 14:24,2014-6-30,2354
2014-5-20 14:24,2014-7-20,2074
2014-5-20 16:4,2014-7-7,1674
2014-5-20 16:4,2014-7-14,1404
2014-5-20 16:4,2014-7-1,1164
2014-5-20 16:4,2014-7-2,1004
2014-5-20 16:4,2014-7-9,1224
2014-5-20 16:4,2014-7-16,1614
2014-5-20 16:4,2014-7-3,1004
2014-5-20 16:4,2014-7-10,1004
2014-5-20 16:4,2014-7-17,1674
2014-5-20 16:4,2014-7-4,1374
2014-5-20 16:4,2014-7-11,1194
2014-5-20 16:4,2014-7-18,1614
2014-5-20 16:4,2014-7-6,1614
2014-5-20 16:4,2014-7-13,1614
2014-5-20 16:4,2014-7-20,2074
2014-5-20 16:4,2014-7-20,2074
2014-5-20 16:4,2014-7-7,2104
2014-5-20 16:4,2014-7-14,2444
2014-5-20 16:4,2014-7-1,1614
2014-5-20 16:4,2014-7-2,1614
2014-5-20 16:4,2014-7-9,3264
2014-5-20 16:4,2014-7-16,1984
2014-5-20 16:4,2014-7-3,1984
2014-5-20 16:4,2014-7-10,2354
2014-5-20 16:4,2014-7-17,1984
2014-5-20 16:4,2014-7-4,2804
2014-5-20 16:4,2014-7-11,2444
2014-5-20 16:4,2014-7-18,1984
2014-5-20 16:4,2014-7-6,3264
2014-5-20 16:4,2014-7-13,2354
2014-5-20 16:4,2014-6-30,2354
2014-5-20 22:6,2014-7-20,2074
2014-5-20 22:6,2014-7-7,1674
2014-5-20 22:6,2014-7-14,1404
2014-5-20 22:6,2014-7-1,1164
2014-5-20 22:6,2014-7-2,1004
2014-5-20 22:6,2014-7-9,1224
2014-5-20 22:6,2014-7-16,1614
2014-5-20 22:6,2014-7-3,1004
2014-5-20 22:6,2014-7-10,1034
2014-5-20 22:6,2014-7-17,1674
2014-5-20 22:6,2014-7-4,1374
2014-5-20 22:6,2014-7-11,1194
2014-5-20 22:6,2014-7-18,1614
2014-5-20 22:6,2014-7-6,1614
2014-5-20 22:6,2014-7-13,1614
2014-5-20 22:6,2014-7-20,2074
2014-5-21 4:4,2014-7-20,2074
2014-5-20 22:6,2014-7-7,2104
2014-5-20 22:6,2014-7-14,2444
2014-5-20 22:6,2014-7-1,1614
2014-5-20 22:6,2014-7-2,1614
2014-5-20 22:6,2014-7-9,3264
2014-5-20 22:6,2014-7-16,1984
2014-5-20 22:6,2014-7-3,2074
2014-5-20 22:6,2014-7-10,2354
2014-5-20 22:6,2014-7-17,1984
2014-5-20 22:6,2014-7-4,2804
2014-5-20 22:6,2014-7-11,2444
2014-5-20 22:6,2014-7-18,1984
2014-5-20 22:6,2014-7-6,3264
2014-5-20 22:6,2014-7-13,2354
2014-5-20 16:4,2014-6-30,2354
2014-5-21 10:4,2014-7-20,2074
2014-5-21 4:4,2014-7-7,1674
2014-5-21 4:4,2014-7-14,1404
2014-5-21 4:4,2014-7-1,1164
2014-5-21 4:4,2014-7-2,1004
2014-5-21 4:4,2014-7-9,1224
2014-5-21 4:4,2014-7-16,1614
2014-5-21 4:4,2014-7-3,1004
2014-5-21 4:4,2014-7-10,1034
2014-5-21 4:4,2014-7-17,1674
2014-5-21 4:4,2014-7-4,1374
2014-5-21 4:4,2014-7-11,1194
2014-5-21 4:4,2014-7-18,1614
2014-5-21 4:4,2014-7-6,1614
2014-5-21 4:4,2014-7-13,1614
2014-5-21 4:4,2014-7-20,2074
2014-5-21 16:4,2014-7-20,2074
2014-5-21 4:4,2014-7-7,2104
2014-5-21 4:4,2014-7-14,2444
2014-5-21 4:4,2014-7-1,1614
2014-5-21 4:4,2014-7-2,1614
2014-5-21 4:4,2014-7-9,3264
2014-5-21 4:4,2014-7-16,1984
2014-5-21 4:4,2014-7-3,2074
2014-5-21 4:4,2014-7-10,2354
2014-5-21 4:4,2014-7-17,1984
