checkTime,arrivalTime,price
2014-5-20 11:28,2014-07-08,4664
2014-7-11 22:5,2014-07-14,12058
2014-5-20 11:28,2014-07-10,4664
2014-5-20 11:28,2014-07-12,5683
2014-5-20 11:28,2014-07-13,5905
2014-5-20 11:28,2014-07-14,5959
2014-5-20 11:28,2014-07-09,4830
2014-5-20 16:6,2014-07-09,4830
2014-5-20 16:6,2014-07-10,4664
2014-5-20 16:6,2014-07-14,6146
2014-5-20 16:6,2014-07-13,5905
2014-5-20 16:6,2014-07-08,4664
2014-5-20 22:5,2014-07-14,6146
2014-5-20 22:5,2014-07-09,4830
2014-5-20 22:5,2014-07-10,4664
2014-5-21 4:6,2014-07-14,6146
2014-5-20 22:5,2014-07-13,5905
2014-5-20 16:6,2014-07-12,5683
2014-5-21 10:8,2014-07-14,6146
2014-5-21 4:6,2014-07-09,4830
2014-5-21 4:6,2014-07-10,4830
2014-5-21 16:6,2014-07-14,6146
2014-5-21 4:6,2014-07-13,5905
2014-5-20 22:5,2014-07-08,4664
2014-5-21 22:5,2014-07-14,6146
2014-5-21 10:8,2014-07-09,4830
2014-5-21 10:8,2014-07-10,4830
2014-5-22 4:6,2014-07-14,6146
2014-5-21 10:8,2014-07-13,5905
2014-5-20 22:5,2014-07-12,5683
2014-5-22 10:8,2014-07-14,6146
2014-5-21 16:6,2014-07-09,4830
2014-5-21 16:6,2014-07-10,4830
2014-5-22 16:6,2014-07-14,6146
2014-5-21 16:6,2014-07-13,5905
2014-5-21 4:6,2014-07-08,4664
2014-5-22 22:5,2014-07-14,6146
2014-5-21 22:5,2014-07-09,4830
2014-5-21 22:5,2014-07-10,4830
2014-5-23 4:6,2014-07-14,6146
2014-5-21 22:5,2014-07-13,5905
2014-5-21 4:6,2014-07-12,5683
2014-5-23 10:8,2014-07-14,6146
2014-5-22 4:6,2014-07-09,4830
2014-5-22 4:6,2014-07-10,4830
2014-5-23 16:6,2014-07-14,6146
2014-5-22 4:6,2014-07-13,5429
2014-5-21 10:8,2014-07-08,4664
2014-5-23 22:5,2014-07-14,6146
2014-5-22 10:8,2014-07-09,4830
2014-5-22 10:8,2014-07-10,4830
2014-5-24 4:6,2014-07-14,6146
2014-5-22 10:8,2014-07-13,5429
2014-5-21 10:8,2014-07-12,5683
2014-5-24 10:8,2014-07-14,6146
2014-5-22 16:6,2014-07-09,5017
2014-5-22 16:6,2014-07-10,5017
2014-5-24 16:6,2014-07-14,6146
2014-5-22 16:6,2014-07-13,5429
2014-5-21 16:6,2014-07-08,4664
2014-5-24 22:5,2014-07-14,6146
2014-5-22 22:5,2014-07-09,5017
2014-5-22 22:5,2014-07-10,5017
2014-5-25 4:6,2014-07-14,6311
2014-5-22 22:5,2014-07-13,5429
2014-5-21 16:6,2014-07-12,5683
2014-5-25 10:8,2014-07-14,6311
2014-5-23 4:6,2014-07-09,5017
2014-5-23 4:6,2014-07-10,5017
2014-5-25 16:6,2014-07-14,6311
2014-5-23 4:6,2014-07-13,5596
2014-5-21 22:5,2014-07-08,4664
2014-5-26 4:6,2014-07-14,6320
2014-5-23 10:8,2014-07-09,5017
2014-5-23 10:8,2014-07-10,5017
2014-5-26 10:8,2014-07-14,6320
2014-5-23 10:8,2014-07-13,5429
2014-5-21 22:5,2014-07-12,5683
2014-5-26 16:6,2014-07-14,6320
2014-5-23 16:6,2014-07-09,5017
2014-5-23 16:6,2014-07-10,5017
2014-5-26 22:5,2014-07-14,6320
2014-5-23 16:6,2014-07-13,5429
2014-5-22 4:6,2014-07-08,4664
2014-5-27 4:6,2014-07-14,6320
2014-5-23 22:5,2014-07-09,5017
2014-5-23 22:5,2014-07-10,5017
2014-5-27 16:6,2014-07-14,6320
2014-5-23 22:5,2014-07-13,5429
2014-5-22 4:6,2014-07-12,5683
2014-5-28 4:6,2014-07-14,6320
2014-5-24 4:6,2014-07-09,4851
2014-5-24 4:6,2014-07-10,5017
2014-5-28 10:8,2014-07-14,6320
2014-5-24 4:6,2014-07-13,5429
2014-5-22 10:8,2014-07-08,4664
2014-5-29 4:6,2014-07-14,6320
2014-5-24 10:8,2014-07-09,4851
2014-5-24 10:8,2014-07-10,5017
2014-5-29 10:8,2014-07-14,6320
2014-5-24 10:8,2014-07-13,5429
2014-5-22 10:8,2014-07-12,5683
2014-5-29 16:6,2014-07-14,6320
2014-5-24 16:6,2014-07-09,4851
2014-5-24 16:6,2014-07-10,5017
2014-5-29 22:5,2014-07-14,6320
2014-5-24 16:6,2014-07-13,5429
2014-5-22 16:6,2014-07-08,4851
2014-5-30 4:6,2014-07-14,6320
2014-5-24 22:5,2014-07-09,4851
2014-5-24 22:5,2014-07-10,5017
2014-5-30 10:8,2014-07-14,6320
2014-5-24 22:5,2014-07-13,5429
2014-5-22 16:6,2014-07-12,5806
2014-5-30 16:6,2014-07-14,6320
2014-5-25 4:6,2014-07-09,4851
2014-5-25 4:6,2014-07-10,5017
2014-5-30 22:5,2014-07-14,6320
2014-5-25 4:6,2014-07-13,5429
2014-5-22 22:5,2014-07-08,4851
2014-5-31 4:6,2014-07-14,6320
2014-5-25 10:8,2014-07-09,4851
2014-5-25 10:8,2014-07-10,5017
2014-5-31 10:8,2014-07-14,6320
2014-5-25 10:8,2014-07-13,5429
2014-5-22 22:5,2014-07-12,5806
2014-5-31 16:6,2014-07-14,6320
2014-5-25 16:6,2014-07-09,4851
2014-5-25 16:6,2014-07-10,5017
2014-5-31 22:5,2014-07-14,6320
2014-5-25 16:6,2014-07-13,5429
2014-5-23 4:6,2014-07-08,4851
2014-6-1 4:6,2014-07-14,6320
2014-5-26 4:6,2014-07-09,5026
2014-5-26 4:6,2014-07-10,5026
2014-6-1 10:8,2014-07-14,6320
2014-5-26 4:6,2014-07-13,5439
2014-5-23 4:6,2014-07-12,5806
2014-6-1 16:6,2014-07-14,6320
2014-5-26 10:8,2014-07-09,5026
2014-5-26 10:8,2014-07-10,5285
2014-6-2 4:6,2014-07-14,6319
2014-5-26 10:8,2014-07-13,5439
2014-5-23 10:8,2014-07-08,4851
2014-6-2 10:8,2014-07-14,6319
2014-5-26 16:6,2014-07-09,5026
2014-5-26 16:6,2014-07-10,5285
