checkTime,arrivalTime,price
2014-5-20 11:8,2014-07-08,2508
2014-7-11 22:12,2014-07-14,6353
2014-5-20 11:8,2014-07-10,2992
2014-5-20 11:8,2014-07-12,4582
2014-5-20 11:8,2014-07-13,3611
2014-5-20 11:8,2014-07-14,2992
2014-5-20 11:8,2014-07-09,2508
2014-5-20 11:32,2014-07-09,2508
2014-5-20 11:32,2014-07-10,2992
2014-5-20 11:32,2014-07-14,2992
2014-5-20 11:32,2014-07-13,3611
2014-5-20 11:32,2014-07-08,2508
2014-5-21 4:12,2014-07-14,2992
2014-5-21 4:12,2014-07-09,2508
2014-5-21 4:12,2014-07-10,2992
2014-5-21 22:12,2014-07-14,2992
2014-5-21 4:12,2014-07-13,3611
2014-5-20 11:32,2014-07-12,4582
2014-5-22 4:12,2014-07-14,2992
2014-5-21 22:12,2014-07-09,2508
2014-5-21 22:12,2014-07-10,2992
2014-5-22 10:12,2014-07-14,2992
2014-5-21 22:12,2014-07-13,3611
2014-5-21 4:12,2014-07-08,2508
2014-5-22 16:11,2014-07-14,2992
2014-5-22 4:12,2014-07-09,2508
2014-5-22 4:12,2014-07-10,2992
2014-5-22 22:12,2014-07-14,2992
2014-5-22 4:12,2014-07-13,2660
2014-5-21 4:12,2014-07-12,4582
2014-5-23 4:12,2014-07-14,2992
2014-5-22 10:12,2014-07-09,2508
2014-5-22 10:12,2014-07-10,2992
2014-5-23 10:12,2014-07-14,2992
2014-5-22 10:12,2014-07-13,2660
2014-5-21 22:12,2014-07-08,2992
2014-5-23 16:11,2014-07-14,2992
2014-5-22 16:11,2014-07-09,2508
2014-5-22 16:11,2014-07-10,2992
2014-5-23 22:12,2014-07-14,2992
2014-5-22 16:11,2014-07-13,2660
2014-5-21 22:12,2014-07-12,4582
2014-5-24 10:12,2014-07-14,2992
2014-5-22 22:12,2014-07-09,2508
2014-5-22 22:12,2014-07-10,2992
2014-5-24 16:11,2014-07-14,2992
2014-5-22 22:12,2014-07-13,2660
2014-5-22 4:12,2014-07-08,2992
2014-5-24 22:12,2014-07-14,2992
2014-5-23 4:12,2014-07-09,2508
2014-5-23 4:12,2014-07-10,2992
2014-5-25 4:12,2014-07-14,2992
2014-5-23 4:12,2014-07-13,2992
2014-5-22 4:12,2014-07-12,4582
2014-5-25 10:12,2014-07-14,2992
2014-5-23 10:12,2014-07-09,2508
2014-5-23 10:12,2014-07-10,2992
2014-5-25 16:11,2014-07-14,2992
2014-5-23 10:12,2014-07-13,2660
2014-5-22 10:12,2014-07-08,2992
2014-5-25 22:12,2014-07-14,2992
2014-5-23 16:11,2014-07-09,2508
2014-5-23 16:11,2014-07-10,2992
2014-5-26 4:12,2014-07-14,2992
2014-5-23 16:11,2014-07-13,2660
2014-5-22 10:12,2014-07-12,4582
2014-5-26 10:12,2014-07-14,2992
2014-5-23 22:12,2014-07-09,2508
2014-5-23 22:12,2014-07-10,2992
2014-5-26 16:11,2014-07-14,2992
2014-5-23 22:12,2014-07-13,2660
2014-5-22 16:11,2014-07-08,2992
2014-5-26 22:12,2014-07-14,2992
2014-5-24 10:12,2014-07-09,2508
2014-5-24 10:12,2014-07-10,2992
2014-5-27 4:12,2014-07-14,2992
2014-5-24 10:12,2014-07-13,2660
2014-5-22 16:11,2014-07-12,4582
2014-5-27 10:12,2014-07-14,2992
2014-5-24 16:11,2014-07-09,2508
2014-5-24 16:11,2014-07-10,2992
2014-5-27 16:11,2014-07-14,2992
2014-5-24 16:11,2014-07-13,2660
2014-5-22 22:12,2014-07-08,2992
2014-5-27 22:12,2014-07-14,2992
2014-5-24 22:12,2014-07-09,2508
2014-5-24 22:12,2014-07-10,2992
2014-5-28 4:12,2014-07-14,2992
2014-5-24 22:12,2014-07-13,2660
2014-5-22 22:12,2014-07-12,4582
2014-5-28 16:11,2014-07-14,2992
2014-5-25 4:12,2014-07-09,2508
2014-5-25 4:12,2014-07-10,2992
2014-5-28 22:12,2014-07-14,3611
2014-5-25 4:12,2014-07-13,2660
2014-5-23 4:12,2014-07-08,2992
2014-5-29 4:12,2014-07-14,3611
2014-5-25 10:12,2014-07-09,2508
2014-5-25 10:12,2014-07-10,2992
2014-5-29 10:12,2014-07-14,3611
2014-5-25 10:12,2014-07-13,2660
2014-5-23 4:12,2014-07-12,4582
2014-5-29 16:11,2014-07-14,3611
2014-5-25 16:11,2014-07-09,2508
2014-5-25 16:11,2014-07-10,2992
2014-5-29 22:12,2014-07-14,3611
2014-5-25 16:11,2014-07-13,2660
2014-5-23 10:12,2014-07-08,2992
2014-5-30 4:12,2014-07-14,3611
2014-5-25 22:12,2014-07-09,2508
2014-5-25 22:12,2014-07-10,2992
2014-5-30 10:12,2014-07-14,3611
2014-5-25 22:12,2014-07-13,2660
2014-5-23 10:12,2014-07-12,4582
2014-5-30 16:11,2014-07-14,3611
2014-5-26 4:12,2014-07-09,2508
2014-5-26 4:12,2014-07-10,2992
2014-5-30 22:12,2014-07-14,3611
2014-5-26 4:12,2014-07-13,2660
2014-5-23 16:11,2014-07-08,2992
2014-5-31 4:12,2014-07-14,3611
2014-5-26 10:12,2014-07-09,2508
2014-5-26 10:12,2014-07-10,2992
2014-5-31 10:12,2014-07-14,3611
2014-5-26 10:12,2014-07-13,2660
2014-5-23 16:11,2014-07-12,4582
2014-5-31 22:12,2014-07-14,3611
2014-5-26 16:11,2014-07-09,2508
2014-5-26 16:11,2014-07-10,2992
2014-6-1 4:12,2014-07-14,3640
2014-5-26 16:11,2014-07-13,2660
2014-5-23 22:12,2014-07-08,2992
2014-6-1 10:12,2014-07-14,3640
2014-5-26 22:12,2014-07-09,2508
