checkTime,arrivalTime,price
2014-5-20 11:26,2014-07-08,1729
2014-7-11 10:6,2014-07-14,5184
2014-5-20 11:26,2014-07-10,1729
2014-5-20 11:26,2014-07-11,1729
2014-5-20 11:26,2014-07-12,3083
2014-5-20 11:26,2014-07-13,3083
2014-5-20 11:26,2014-07-14,2184
2014-5-20 11:26,2014-07-09,1729
2014-5-20 16:8,2014-07-09,1729
2014-5-20 16:8,2014-07-10,1729
2014-5-20 16:8,2014-07-14,2184
2014-5-20 16:8,2014-07-12,3083
2014-5-20 16:8,2014-07-13,3083
2014-5-20 16:8,2014-07-08,1729
2014-5-20 22:8,2014-07-14,2184
2014-5-20 22:8,2014-07-09,1729
2014-5-20 22:8,2014-07-10,1729
2014-5-21 4:8,2014-07-14,2184
2014-5-20 22:8,2014-07-12,3083
2014-5-20 22:8,2014-07-13,3083
2014-5-20 16:8,2014-07-11,1729
2014-5-21 10:6,2014-07-14,2184
2014-5-21 4:8,2014-07-09,1729
2014-5-21 4:8,2014-07-10,1729
2014-5-21 16:8,2014-07-14,1729
2014-5-21 4:8,2014-07-12,3083
2014-5-21 4:8,2014-07-13,3083
2014-5-20 22:8,2014-07-08,1729
2014-5-21 22:8,2014-07-14,1729
2014-5-21 10:6,2014-07-09,1729
2014-5-21 10:6,2014-07-10,1729
2014-5-22 4:8,2014-07-14,1729
2014-5-21 10:6,2014-07-12,3083
2014-5-21 10:6,2014-07-13,3083
2014-5-20 22:8,2014-07-11,1729
2014-5-22 10:6,2014-07-14,1729
2014-5-21 16:8,2014-07-09,1729
2014-5-21 16:8,2014-07-10,1729
2014-5-22 16:8,2014-07-14,1729
2014-5-21 16:8,2014-07-12,3084
2014-5-21 16:8,2014-07-13,3084
2014-5-21 4:8,2014-07-08,1729
2014-5-22 22:8,2014-07-14,1729
2014-5-21 22:8,2014-07-09,1729
2014-5-21 22:8,2014-07-10,1729
2014-5-23 4:8,2014-07-14,1729
2014-5-21 22:8,2014-07-12,3084
2014-5-21 22:8,2014-07-13,3084
2014-5-21 4:8,2014-07-11,1729
2014-5-23 10:6,2014-07-14,1729
2014-5-22 4:8,2014-07-09,1729
2014-5-22 4:8,2014-07-10,1729
2014-5-23 16:8,2014-07-14,1729
2014-5-22 4:8,2014-07-12,3084
2014-5-22 4:8,2014-07-13,3084
2014-5-21 10:6,2014-07-08,1729
2014-5-23 22:8,2014-07-14,1729
2014-5-22 10:6,2014-07-09,1729
2014-5-22 10:6,2014-07-10,1729
2014-5-24 4:8,2014-07-14,1729
2014-5-22 10:6,2014-07-12,3084
2014-5-22 10:6,2014-07-13,3084
2014-5-21 10:6,2014-07-11,1729
2014-5-24 10:6,2014-07-14,1729
2014-5-22 16:8,2014-07-09,1729
2014-5-22 16:8,2014-07-10,1729
2014-5-24 16:8,2014-07-14,1729
2014-5-22 16:8,2014-07-12,3084
2014-5-22 16:8,2014-07-13,3084
2014-5-21 16:8,2014-07-08,1729
2014-5-24 22:8,2014-07-14,1729
2014-5-22 22:8,2014-07-09,1729
2014-5-22 22:8,2014-07-10,1729
2014-5-25 4:8,2014-07-14,1729
2014-5-22 22:8,2014-07-12,3084
2014-5-22 22:8,2014-07-13,3084
2014-5-21 16:8,2014-07-11,1729
2014-5-25 10:6,2014-07-14,1729
2014-5-23 4:8,2014-07-09,1729
2014-5-23 4:8,2014-07-10,1729
2014-5-25 16:8,2014-07-14,1729
2014-5-23 4:8,2014-07-12,3084
2014-5-23 4:8,2014-07-13,3084
2014-5-21 22:8,2014-07-08,1729
2014-5-25 22:8,2014-07-14,1729
2014-5-23 10:6,2014-07-09,1729
2014-5-23 10:6,2014-07-10,1729
2014-5-26 4:8,2014-07-14,1729
2014-5-23 10:6,2014-07-12,3084
2014-5-23 10:6,2014-07-13,3084
2014-5-21 22:8,2014-07-11,1729
2014-5-26 10:6,2014-07-14,1729
2014-5-23 16:8,2014-07-09,1729
2014-5-23 16:8,2014-07-10,1729
2014-5-26 16:8,2014-07-14,1729
2014-5-23 16:8,2014-07-12,3084
2014-5-23 16:8,2014-07-13,3084
2014-5-22 4:8,2014-07-08,1729
2014-5-26 22:8,2014-07-14,1729
2014-5-23 22:8,2014-07-09,1729
2014-5-23 22:8,2014-07-10,1729
2014-5-27 4:8,2014-07-14,1729
2014-5-23 22:8,2014-07-12,3084
2014-5-23 22:8,2014-07-13,3084
2014-5-22 4:8,2014-07-11,1729
2014-5-27 10:6,2014-07-14,1729
2014-5-24 4:8,2014-07-09,1729
2014-5-24 4:8,2014-07-10,1729
2014-5-27 16:8,2014-07-14,2184
2014-5-24 4:8,2014-07-12,3084
2014-5-24 4:8,2014-07-13,3084
2014-5-22 10:6,2014-07-08,1729
2014-5-27 22:8,2014-07-14,2184
2014-5-24 10:6,2014-07-09,1729
2014-5-24 10:6,2014-07-10,1729
2014-5-28 4:8,2014-07-14,2184
2014-5-24 10:6,2014-07-12,3084
2014-5-24 10:6,2014-07-13,3084
2014-5-22 10:6,2014-07-11,1729
2014-5-28 10:6,2014-07-14,2184
2014-5-24 16:8,2014-07-09,1729
2014-5-24 16:8,2014-07-10,1729
2014-5-28 16:8,2014-07-14,2184
2014-5-24 16:8,2014-07-12,3084
2014-5-24 16:8,2014-07-13,3084
2014-5-22 16:8,2014-07-08,1729
2014-5-28 22:8,2014-07-14,2184
2014-5-24 22:8,2014-07-09,1729
2014-5-24 22:8,2014-07-10,1729
2014-5-29 4:8,2014-07-14,2184
2014-5-24 22:8,2014-07-12,3084
2014-5-24 22:8,2014-07-13,3084
2014-5-22 16:8,2014-07-11,1729
2014-5-29 10:6,2014-07-14,2184
2014-5-25 4:8,2014-07-09,2184
2014-5-25 4:8,2014-07-10,1729
2014-5-29 16:8,2014-07-14,2184
2014-5-25 4:8,2014-07-12,3084
2014-5-25 4:8,2014-07-13,3084
2014-5-22 22:8,2014-07-08,1729
2014-5-29 22:8,2014-07-14,2184
2014-5-25 10:6,2014-07-09,2184
2014-5-25 10:6,2014-07-10,1729
2014-5-30 4:8,2014-07-14,2184
2014-5-25 10:6,2014-07-12,3084
2014-5-25 10:6,2014-07-13,3084
2014-5-22 22:8,2014-07-11,1729
2014-5-30 10:6,2014-07-14,2184
2014-5-25 16:8,2014-07-09,2184
2014-5-25 16:8,2014-07-10,1729
2014-5-30 16:8,2014-07-14,2184
2014-5-25 16:8,2014-07-12,3084
2014-5-25 16:8,2014-07-13,3084
2014-5-23 4:8,2014-07-08,1729
2014-5-30 22:8,2014-07-14,2184
2014-5-25 22:8,2014-07-09,2184
2014-5-25 22:8,2014-07-10,1729
2014-5-31 4:8,2014-07-14,2184
2014-5-25 22:8,2014-07-12,3084
2014-5-25 22:8,2014-07-13,3084
2014-5-23 4:8,2014-07-11,1729
2014-5-31 10:6,2014-07-14,2184
2014-5-26 4:8,2014-07-09,2184
2014-5-26 4:8,2014-07-10,1729
2014-5-31 16:8,2014-07-14,2184
2014-5-26 4:8,2014-07-12,3084
2014-5-26 4:8,2014-07-13,3084
2014-5-23 10:6,2014-07-08,1729
2014-5-31 22:8,2014-07-14,2184
2014-5-26 10:6,2014-07-09,2184
2014-5-26 10:6,2014-07-10,1729
2014-6-1 4:8,2014-07-14,2184
2014-5-26 10:6,2014-07-12,3084
2014-5-26 10:6,2014-07-13,3084
2014-5-23 10:6,2014-07-11,1729
2014-6-1 10:6,2014-07-14,2184
2014-5-26 16:8,2014-07-09,2184
2014-5-26 16:8,2014-07-10,1729
2014-6-1 16:8,2014-07-14,2184
2014-5-26 16:8,2014-07-12,3084
2014-5-26 16:8,2014-07-13,3084
2014-5-23 16:8,2014-07-08,1729
2014-6-1 22:8,2014-07-14,2184
2014-5-26 22:8,2014-07-09,2184
2014-5-26 22:8,2014-07-10,1729
2014-6-2 4:8,2014-07-14,2184
2014-5-26 22:8,2014-07-12,3084
2014-5-26 22:8,2014-07-13,3084
2014-5-23 16:8,2014-07-11,1729
2014-6-2 10:6,2014-07-14,2186
2014-5-27 4:8,2014-07-09,2184
2014-5-27 4:8,2014-07-10,1729
2014-6-2 16:8,2014-07-14,2186
2014-5-27 4:8,2014-07-12,3084
2014-5-27 4:8,2014-07-13,3084
2014-5-23 22:8,2014-07-08,1729
2014-6-2 22:8,2014-07-14,2186
2014-5-27 10:6,2014-07-09,2184
2014-5-27 10:6,2014-07-10,1729
2014-6-3 4:8,2014-07-14,2186
2014-5-27 10:6,2014-07-12,3084
2014-5-27 10:6,2014-07-13,3084
2014-5-23 22:8,2014-07-11,1729
2014-6-3 10:6,2014-07-14,2186
2014-5-27 16:8,2014-07-09,2184
2014-5-27 16:8,2014-07-10,1729
2014-6-3 16:8,2014-07-14,2686
2014-5-27 16:8,2014-07-12,3084
2014-5-27 16:8,2014-07-13,3084
2014-5-24 4:8,2014-07-08,2184
2014-6-3 22:8,2014-07-14,2686
2014-5-27 22:8,2014-07-09,2184
2014-5-27 22:8,2014-07-10,1729
2014-6-4 4:8,2014-07-14,2686
2014-5-27 22:8,2014-07-12,3084
2014-5-27 22:8,2014-07-13,3084
2014-5-24 4:8,2014-07-11,1729
2014-6-4 10:6,2014-07-14,2686
2014-5-28 4:8,2014-07-09,2184
2014-5-28 4:8,2014-07-10,1729
2014-6-4 16:8,2014-07-14,2686
2014-5-28 4:8,2014-07-12,3084
2014-5-28 4:8,2014-07-13,3084
2014-5-24 10:6,2014-07-08,2184
2014-6-4 22:8,2014-07-14,2686
2014-5-28 10:6,2014-07-09,2184
2014-5-28 10:6,2014-07-10,1729
2014-6-5 4:8,2014-07-14,2686
2014-5-28 10:6,2014-07-12,3084
2014-5-28 10:6,2014-07-13,3084
2014-5-24 10:6,2014-07-11,1729
2014-6-5 10:6,2014-07-14,2686
2014-5-28 16:8,2014-07-09,2184
2014-5-28 16:8,2014-07-10,1729
2014-6-5 16:8,2014-07-14,2686
2014-5-28 16:8,2014-07-12,3084
2014-5-28 16:8,2014-07-13,3084
2014-5-24 16:8,2014-07-08,2184
2014-6-5 22:8,2014-07-14,2686
2014-5-28 22:8,2014-07-09,2184
2014-5-28 22:8,2014-07-10,1729
2014-6-6 4:8,2014-07-14,2686
2014-5-28 22:8,2014-07-12,3084
2014-5-28 22:8,2014-07-13,3084
2014-5-24 16:8,2014-07-11,1729
2014-6-6 10:6,2014-07-14,2686
2014-5-29 4:8,2014-07-09,2184
2014-5-29 4:8,2014-07-10,1729
2014-6-6 16:8,2014-07-14,2686
2014-5-29 4:8,2014-07-12,3084
2014-5-29 4:8,2014-07-13,3084
2014-5-24 22:8,2014-07-08,2184
2014-6-6 22:8,2014-07-14,2686
