checkTime,arrivalTime,price
2014-5-20 11:31,2014-07-09,2385
2014-7-11 16:11,2014-07-14,5031
2014-5-20 11:31,2014-07-11,2385
2014-5-20 11:31,2014-07-12,2385
2014-5-20 11:31,2014-07-13,3771
2014-5-20 16:11,2014-07-09,2385
2014-5-20 16:11,2014-07-10,2268
2014-5-20 11:31,2014-07-10,2268
2014-5-20 16:11,2014-07-12,2385
2014-5-20 16:11,2014-07-13,3771
2014-5-20 22:13,2014-07-13,3771
2014-5-20 22:13,2014-07-10,2268
2014-5-21 4:11,2014-07-13,3771
2014-5-20 22:13,2014-07-12,2385
2014-5-20 16:11,2014-07-11,2385
2014-5-21 10:11,2014-07-13,3771
2014-5-21 4:11,2014-07-10,2268
2014-5-21 16:11,2014-07-13,3771
2014-5-21 4:11,2014-07-12,2268
2014-5-20 22:13,2014-07-09,2385
2014-5-21 22:13,2014-07-13,3771
2014-5-21 10:11,2014-07-10,2268
2014-5-22 4:11,2014-07-13,3771
2014-5-21 10:11,2014-07-12,2268
2014-5-20 22:13,2014-07-11,2385
2014-5-22 10:11,2014-07-13,3771
2014-5-21 16:11,2014-07-10,2268
2014-5-22 16:11,2014-07-13,3771
2014-5-21 16:11,2014-07-12,2268
2014-5-21 4:11,2014-07-09,2385
2014-5-22 22:13,2014-07-13,3771
2014-5-21 22:13,2014-07-10,2268
2014-5-23 4:11,2014-07-13,3771
2014-5-21 22:13,2014-07-12,2268
2014-5-21 4:11,2014-07-11,2385
2014-5-23 10:11,2014-07-13,3771
2014-5-22 4:11,2014-07-10,2268
2014-5-23 16:11,2014-07-13,3771
2014-5-22 4:11,2014-07-12,2268
2014-5-21 10:11,2014-07-09,2385
2014-5-23 22:13,2014-07-13,3771
2014-5-22 10:11,2014-07-10,2268
2014-5-24 4:11,2014-07-13,3771
2014-5-22 10:11,2014-07-12,2268
2014-5-21 10:11,2014-07-11,2385
2014-5-24 10:11,2014-07-13,3771
2014-5-22 16:11,2014-07-10,2268
2014-5-24 16:11,2014-07-13,3771
2014-5-22 16:11,2014-07-12,2268
2014-5-21 16:11,2014-07-09,2385
2014-5-24 22:13,2014-07-13,3771
2014-5-22 22:13,2014-07-10,2268
2014-5-25 4:11,2014-07-13,3771
2014-5-22 22:13,2014-07-12,2268
2014-5-21 16:11,2014-07-11,2385
2014-5-25 10:11,2014-07-13,3771
2014-5-23 4:11,2014-07-10,2268
2014-5-25 16:11,2014-07-13,3771
2014-5-23 4:11,2014-07-12,2385
2014-5-21 22:13,2014-07-09,2385
2014-5-25 22:13,2014-07-13,3771
2014-5-23 10:11,2014-07-10,2385
2014-5-26 4:11,2014-07-13,3771
2014-5-23 10:11,2014-07-12,2385
2014-5-21 22:13,2014-07-11,2385
2014-5-26 10:11,2014-07-13,3771
2014-5-23 16:11,2014-07-10,2385
2014-5-26 16:11,2014-07-13,3771
2014-5-23 16:11,2014-07-12,2385
2014-5-22 4:11,2014-07-09,2385
2014-5-26 22:13,2014-07-13,3771
2014-5-23 22:13,2014-07-10,2385
2014-5-27 4:11,2014-07-13,3771
2014-5-23 22:13,2014-07-12,2385
2014-5-22 4:11,2014-07-11,2385
2014-5-27 10:11,2014-07-13,3771
2014-5-24 4:11,2014-07-10,2268
2014-5-27 16:11,2014-07-13,3771
2014-5-24 4:11,2014-07-12,2385
2014-5-22 10:11,2014-07-09,2385
2014-5-27 22:13,2014-07-13,3771
2014-5-24 10:11,2014-07-10,2268
2014-5-28 4:11,2014-07-13,3771
2014-5-24 10:11,2014-07-12,2385
2014-5-22 10:11,2014-07-11,2385
2014-5-28 10:11,2014-07-13,3771
2014-5-24 16:11,2014-07-10,2268
2014-5-28 16:11,2014-07-13,3771
2014-5-24 16:11,2014-07-12,2385
2014-5-22 16:11,2014-07-09,2385
2014-5-28 22:13,2014-07-13,3771
2014-5-24 22:13,2014-07-10,2268
2014-5-29 4:11,2014-07-13,3771
2014-5-24 22:13,2014-07-12,2385
2014-5-22 16:11,2014-07-11,2385
2014-5-29 10:11,2014-07-13,3771
2014-5-25 4:11,2014-07-10,2268
2014-5-29 16:11,2014-07-13,3771
2014-5-25 4:11,2014-07-12,2385
2014-5-22 22:13,2014-07-09,2385
2014-5-29 22:13,2014-07-13,3771
2014-5-25 10:11,2014-07-10,2268
2014-5-30 4:11,2014-07-13,3771
2014-5-25 10:11,2014-07-12,2385
2014-5-22 22:13,2014-07-11,2385
2014-5-30 10:11,2014-07-13,3771
2014-5-25 16:11,2014-07-10,2268
2014-5-30 16:11,2014-07-13,3771
2014-5-25 16:11,2014-07-12,2385
2014-5-23 4:11,2014-07-09,2385
2014-5-30 22:13,2014-07-13,3771
2014-5-25 22:13,2014-07-10,2268
2014-5-31 4:11,2014-07-13,3771
2014-5-25 22:13,2014-07-12,2385
2014-5-23 4:11,2014-07-11,2385
2014-5-31 10:11,2014-07-13,3771
2014-5-26 4:11,2014-07-10,2268
2014-5-31 16:11,2014-07-13,3771
2014-5-26 4:11,2014-07-12,2385
2014-5-23 10:11,2014-07-09,2385
2014-5-31 22:13,2014-07-13,3771
2014-5-26 10:11,2014-07-10,2268
2014-6-1 4:11,2014-07-13,3771
2014-5-26 10:11,2014-07-12,2385
2014-5-23 10:11,2014-07-11,2385
2014-6-1 10:11,2014-07-13,3771
2014-5-26 16:11,2014-07-10,2268
2014-6-1 16:11,2014-07-13,3771
2014-5-26 16:11,2014-07-12,2385
2014-5-23 16:11,2014-07-09,2385
2014-6-1 22:13,2014-07-13,3771
2014-5-26 22:13,2014-07-10,2268
2014-6-2 4:11,2014-07-13,3774
2014-5-26 22:13,2014-07-12,2385
2014-5-23 16:11,2014-07-11,2385
2014-6-2 10:11,2014-07-13,3774
2014-5-27 4:11,2014-07-10,2268
2014-6-2 16:11,2014-07-13,3774
2014-5-27 4:11,2014-07-12,2385
2014-5-23 22:13,2014-07-09,2385
2014-6-2 22:13,2014-07-13,3774
2014-5-27 10:11,2014-07-10,2268
2014-6-3 4:11,2014-07-13,3774
2014-5-27 10:11,2014-07-12,2385
2014-5-23 22:13,2014-07-11,2385
2014-6-3 10:11,2014-07-13,3774
2014-5-27 16:11,2014-07-10,2268
2014-6-3 16:11,2014-07-13,3774
2014-5-27 16:11,2014-07-12,2385
2014-5-24 4:11,2014-07-09,2385
2014-6-3 22:13,2014-07-13,3774
2014-5-27 22:13,2014-07-10,2268
2014-6-4 4:11,2014-07-13,3774
2014-5-27 22:13,2014-07-12,2385
2014-5-24 4:11,2014-07-11,2385
2014-6-4 10:11,2014-07-13,3774
2014-5-28 4:11,2014-07-10,2268
2014-6-4 16:11,2014-07-13,3774
2014-5-28 4:11,2014-07-12,2385
2014-5-24 10:11,2014-07-09,2385
2014-6-4 22:13,2014-07-13,3774
2014-5-28 10:11,2014-07-10,2684
2014-6-5 4:11,2014-07-13,3774
2014-5-28 10:11,2014-07-12,2385
2014-5-24 10:11,2014-07-11,2385
