checkTime,arrivalTime,price
2014-5-20 11:24,2014-07-08,1070
2014-6-18 10:4,2014-07-14,1070
2014-5-20 11:24,2014-07-10,250
2014-5-20 11:24,2014-07-11,1070
2014-5-20 11:24,2014-07-12,1070
2014-5-20 11:24,2014-07-13,250
2014-5-20 11:24,2014-07-14,1070
2014-5-20 11:24,2014-07-09,1070
2014-5-20 16:4,2014-07-09,1070
2014-5-20 16:4,2014-07-10,250
2014-5-20 16:4,2014-07-14,1070
2014-5-20 16:4,2014-07-12,1070
2014-5-20 16:4,2014-07-13,250
2014-5-20 16:4,2014-07-08,1070
2014-5-20 22:3,2014-07-14,1070
2014-5-20 22:3,2014-07-09,1070
2014-5-20 22:3,2014-07-10,250
2014-5-21 4:4,2014-07-14,1070
2014-5-20 22:3,2014-07-12,1070
2014-5-20 22:3,2014-07-13,250
2014-5-20 16:4,2014-07-11,1070
2014-5-21 10:4,2014-07-14,1070
2014-5-21 4:4,2014-07-09,1070
2014-5-21 4:4,2014-07-10,250
2014-5-21 16:4,2014-07-14,1070
2014-5-21 4:4,2014-07-12,1070
2014-5-21 4:4,2014-07-13,250
2014-5-20 22:3,2014-07-08,1070
2014-5-21 22:3,2014-07-14,1070
2014-5-21 10:4,2014-07-09,1070
2014-5-21 10:4,2014-07-10,250
2014-5-22 4:4,2014-07-14,1070
2014-5-21 10:4,2014-07-12,1070
2014-5-21 10:4,2014-07-13,250
2014-5-20 22:3,2014-07-11,1070
2014-5-22 10:4,2014-07-14,1070
2014-5-21 16:4,2014-07-09,1070
2014-5-21 16:4,2014-07-10,250
2014-5-22 16:4,2014-07-14,1070
2014-5-21 16:4,2014-07-12,1070
2014-5-21 16:4,2014-07-13,250
2014-5-21 4:4,2014-07-08,1070
2014-5-22 22:3,2014-07-14,1070
2014-5-21 22:3,2014-07-09,1070
2014-5-21 22:3,2014-07-10,250
2014-5-23 4:4,2014-07-14,1070
2014-5-21 22:3,2014-07-12,1070
2014-5-21 22:3,2014-07-13,250
2014-5-21 4:4,2014-07-11,1070
2014-5-23 10:4,2014-07-14,1070
2014-5-22 4:4,2014-07-09,1070
2014-5-22 4:4,2014-07-10,250
2014-5-23 16:4,2014-07-14,1070
2014-5-22 4:4,2014-07-12,1070
2014-5-22 4:4,2014-07-13,250
2014-5-21 10:4,2014-07-08,1070
2014-5-23 22:3,2014-07-14,1070
2014-5-22 10:4,2014-07-09,1070
2014-5-22 10:4,2014-07-10,250
2014-5-24 4:4,2014-07-14,1070
2014-5-22 10:4,2014-07-12,1070
2014-5-22 10:4,2014-07-13,250
2014-5-21 10:4,2014-07-11,1070
2014-5-24 10:4,2014-07-14,1070
2014-5-22 16:4,2014-07-09,1070
2014-5-22 16:4,2014-07-10,250
2014-5-24 16:4,2014-07-14,1070
2014-5-22 16:4,2014-07-12,1070
2014-5-22 16:4,2014-07-13,250
2014-5-21 16:4,2014-07-08,1070
2014-5-24 22:3,2014-07-14,1070
2014-5-22 22:3,2014-07-09,1070
2014-5-22 22:3,2014-07-10,250
2014-5-25 4:4,2014-07-14,1070
2014-5-22 22:3,2014-07-12,1070
2014-5-22 22:3,2014-07-13,250
